=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -431.63 === === === === -453.70 === === === === -472.82 === === === === === -505.01 === === === === === === === === === === === === === === === === === === === === === === -611.91 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -365.86 -368.94 -367.53 === === === === === === === === === === === === === === === === === === === === -437.02 === === === === === === === === === === === === === === === -507.57 -508.28 === === === === === === === === === === === === === === === === === === === === === -614.22 === === 
=== === === === === === === === === === === -339.63 -338.09 === === === === === === === === === === === === === === === === === === === === === === -369.94 -374.62 -371.36 === === === === === === === === === === === === === === === === === === === === === -447.25 === === === === === === === === === === === === === === === -512.14 -518.64 === === === === === === === === === === === === === === === === === === === === -619.53 === === 
=== === === === === === === === === === === === -344.00 -343.74 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -450.49 === === === === === === === === === === === === === === === -518.49 -524.49 === -532.86 === === === === === === === === === === === === === === === === === === -621.29 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -458.97 === === === === === === === === === === === === === === === -529.41 -530.59 === === === === === === === === === === === === === === === === === === === -627.99 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -464.20 === === === === === === === === === === -506.53 === === === === -531.28 -535.60 === === === === === === === === === === === === === === === === === === === -630.36 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -500.56 === === -512.27 === === === === === -541.51 -540.27 === === === === === === === === === === === === === === === === === === -633.98 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -477.65 === === === === === === === === === === === === === === === === -546.38 === === === === === === === === === === === === === === === === === === -637.16 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -488.69 === === === === === === === -519.33 === === === === === === -553.47 -552.98 === === === === === === === === === === === === === === === === === -640.44 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -494.20 -493.45 === === === === === === === === === -536.02 === === === === === -560.05 === === === === === === === === === === === === === === === === === -641.83 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -497.76 === === === === === === === === === === === === === === === -566.76 -566.91 === === === === === === === === === === === === === === === === -645.80 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -502.02 === === -512.81 === === === === === === === === === === === === === -570.77 -576.98 === === === === === === === === === === === === === === === -648.92 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -509.88 === === === === === === === === === === === === === === === -579.44 === === === === === === === === === === === === === === === === -654.96 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -578.05 -579.93 === === === === === === === === === === === === === === === === -655.50 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -521.84 -526.87 === === === === === === === === === === -570.73 -575.13 -576.93 -580.34 === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -576.93 -580.16 === === === === === === === -616.42 === === === === === === === === === === -666.31 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -534.86 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -546.39 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -552.22 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -555.83 -558.16 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -564.71 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -571.25 -572.70 -573.22 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -576.26 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === -469.38 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -645.56 === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -589.11 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
